Company Name,Headquarters,Size,Type of ownership,Industry,Sector
Interactive Brokers,"Greenwich, CT",1001 to 5000 employees,Company - Public,Brokerage Services,Finance
The Walt Disney Company,"Burbank, CA",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media
Google,"Mountain View, CA",10000+ employees,Company - Public,Internet,Information Technology
Milliman,"Seattle, WA",1001 to 5000 employees,Company - Private,Consulting,Business Services
Metroplus Health Plan,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
One Drop,"New York, NY",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
"LivePerson, Inc.","New York, NY",1001 to 5000 employees,Company - Public,Internet,Information Technology
Microagility,"Princeton, NJ",1 to 50 employees,Company - Private,Consulting,Business Services
Bloomberg,"New York, NY",10000+ employees,Company - Private,Computer Hardware & Software,Information Technology
Koch Industries,"Wichita, KS",10000+ employees,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities"
Huxley,"London, United Kingdom",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
NYU Langone Health,"New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Gate Staffing LLC,"East Northport, NY",1 to 50 employees,Self-employed,IT Services,Information Technology
Tapestry,"New York, NY",10000+ employees,Company - Public,Other Retail Stores,Retail
CKM Advisors,"New York, NY",51 to 200 employees,Company - Private,Consulting,Business Services
Averity,"New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
The CARIAN Group,"South Plainfield, NJ",1 to 50 employees,Company - Private,Consulting,Business Services
Jun Group Productions LLC,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
Committee of 100,"New York, NY",1 to 50 employees,Company - Private,Social Assistance,Non-Profit
NJF Global Holdings,"London, United Kingdom",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
DMGT,"London, United Kingdom",5001 to 10000 employees,Company - Public,Venture Capital & Private Equity,Finance
ubergig,"New York, NY",1 to 50 employees,Company - Private,Building & Personnel Services,Business Services
OneWire,"New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Thomas,"New York, NY",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
TBWA\Chiat\Day,"New York, NY",1001 to 5000 employees,Company - Public,Advertising & Marketing,Business Services
Internal Revenue Service,"Washington, DC",10000+ employees,Government,Federal Agencies,Government
"Harry and David, LLC","Medford, OR",501 to 1000 employees,Company - Public,Food & Beverage Stores,Retail
Mphasis limited,"Bengaluru, India",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Foursquare,"New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology
Ripple,"San Francisco, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Rockstar Games,"New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media
TechProjects,"North Brunswick, NJ",1 to 50 employees,Company - Private,IT Services,Information Technology
Spring Health,"New York, NY",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care
Grubhub,"Chicago, IL",1001 to 5000 employees,Company - Public,Internet,Information Technology
Arena,"Baltimore, MD",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Sphinix Solutions,"New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
Lorven Technologies Inc,"Plainsboro, NJ",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
Strategic Financial Solutions,"New York, NY",501 to 1000 employees,Company - Private,Consumer Product Rental,Consumer Services
Audible,"Newark, NJ",1001 to 5000 employees,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media
Seated,"New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
NYC Data Science Academy,"New York, NY",1 to 50 employees,Company - Private,Education Training Services,Education
Solekai Systems Corp,"San Diego, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
"Digital Intelligence Systems, LLC","Mc Lean, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Roku,"San Jose, CA",1001 to 5000 employees,Company - Public,IT Services,Information Technology
Oliver Wyman,"New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Consulting,Business Services
Edward Daniels Group,"New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
InvenTech Info,"Bengaluru, India",201 to 500 employees,Company - Private,IT Services,Information Technology
JAG Capital,"San Antonio, TX",1 to 50 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing
Blue Horizon Tek Solutions,"Coconut Creek, FL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
NPD,"Port Washington, NY",1001 to 5000 employees,Company - Private,Research & Development,Business Services
1-800-Flowers,"Carle Place, NY",1001 to 5000 employees,Company - Public,Wholesale,Business Services
Flatiron Health,"New York, NY",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
MediaMath,"New York, NY",501 to 1000 employees,Company - Private,Advertising & Marketing,Business Services
Via Transportation,"New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology
Capital One,"Mc Lean, VA",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Building Service 32BJ Benefit Funds,"New York, NY",201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Marsh,"New York, NY",10000+ employees,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance
Undertone,"New York, NY",201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
Simple Health,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
Galileo,"New York, NY",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care
City of New York,"New York, NY",10000+ employees,Government,Municipal Governments,Government
Catholic Health Services of Long Island,"Rockville Centre, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
"Marsh & McLennan Companies, Inc.","New York, NY",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance
Mediaocean,"New York, NY",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
The Trade Desk,"Ventura, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology
NYC Health + Hospitals,"New York, NY",5001 to 10000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Samsung NEXT,"Mountain View, CA",201 to 500 employees,Company - Public,Computer Hardware & Software,Information Technology
NewtonX,"New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
Spot.IM,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
Tapad,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
Thrasio,"Walpole, MA",51 to 200 employees,Company - Private,Other Retail Stores,Retail
Disney Streaming Services,"New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology
Vettery,"New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology
Slice (NY),"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
TEEMA,"Litchfield Park, AZ",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Mark43,"New York, NY",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Comtech Global Inc,"Columbus, OH",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
Temboo,"New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
"Management Decisions, Inc.","Milwaukee, WI",1 to 50 employees,Company - Public,Advertising & Marketing,Business Services
Argo Group US,"Hamilton, Bermuda",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance
AstraZeneca,"Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Two95 International Inc.,"Cherry Hill, NJ",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
FINRA,"Washington, DC",1001 to 5000 employees,Nonprofit Organization,Brokerage Services,Finance
"EDP World, Inc.","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
TRANZACT,"Fort Lee, NJ",1001 to 5000 employees,Company - Private,Advertising & Marketing,Business Services
Havas Worldwide,"New York, NY",10000+ employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
B12,"New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
Simatree,"New York, NY",1 to 50 employees,Company - Public,Commercial Equipment Rental,Business Services
CyberCoders,"Irvine, CA",201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Healthfirst (New York),"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance
Visiting Nurse Service of New York,"New York, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Slice,"Bengaluru, India",201 to 500 employees,Company - Private,Lending,Finance
Peloton Interactive,"New York, NY",1001 to 5000 employees,Company - Public,"Health, Beauty, & Fitness",Consumer Services
Bank of America,"Charlotte, NC",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Riskified,"New York, NY",501 to 1000 employees,Company - Private,Research & Development,Business Services
ingenium.agency,"New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
IBM,"Armonk, NY",10000+ employees,Company - Public,IT Services,Information Technology
Credibly,"Southfield, MI",51 to 200 employees,Company - Private,Lending,Finance
Healthfirst,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance
LaBine & Associates,"San Mateo, CA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Kinship,"Chicago, IL",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
WCG,"San Francisco, CA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
Humana,"Louisville, KY",10000+ employees,Company - Public,Insurance Carriers,Insurance
The Trevor Project,"West Hollywood, CA",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
Samsung Research America,"Mountain View, CA",1001 to 5000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
Colgate-Palmolive,"New York, NY",10000+ employees,Company - Public,Consumer Products Manufacturing,Manufacturing
First Health Group,"Bethesda, MD",10000+ employees,Company - Private,Insurance Carriers,Insurance
Hearst Communications,"San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Better.com,"New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology
My Job Tank,"New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology
"Take-Two Interactive Software, Inc.","New York, NY",1001 to 5000 employees,Company - Public,Video Games,Media
Komodo Health,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
nFolks Ltd,"Bellevue, WA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Teachers Pay Teachers,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
TMP WORLDWIDE,"New York, NY",501 to 1000 employees,Company - Private,Advertising & Marketing,Business Services
DoubleVerify,"New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology
ERGO Group,"Dublin, Ireland",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
DBRS Morningstar,"Toronto, Canada",201 to 500 employees,Company - Private,Financial Analytics & Research,Finance
Five Rings Capital,"New York, NY",51 to 200 employees,Company - Private,Financial Analytics & Research,Finance
Tachyon Technologies,"Irving, TX",201 to 500 employees,Company - Private,IT Services,Information Technology
Macquarie Group,"Sydney, Australia",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
United Nations,"New York, NY",10000+ employees,Government,Federal Agencies,Government
Hadiamondstar Software Solutions LLC,"Fairfax, VA",1 to 50 employees,Company - Private,IT Services,Information Technology
The Bank of New York Mellon,"New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Northwestern Mutual,"Milwaukee, WI",5001 to 10000 employees,Company - Private,Brokerage Services,Finance
Mitchell Martin,"New York, NY",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Ro,"New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
FanDuel,"New York, NY",501 to 1000 employees,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation"
Nasdaq,"New York, NY",1001 to 5000 employees,Company - Public,Stock Exchanges,Finance
Gainful Health,"San Mateo, CA",1 to 50 employees,Company - Private,Food & Beverage Stores,Retail
Wells Fargo,"San Francisco, CA",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Bombas,"New York, NY",51 to 200 employees,Company - Private,Other Retail Stores,Retail
Vera Institute of Justice,"New York, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
ASB Resources,"Princeton, NJ",1 to 50 employees,Company - Private,IT Services,Information Technology
Freestar,"Phoenix, AZ",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Job Juncture,"Houston, TX",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
"EDO, Inc.","Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology
Sunrise Systems Inc,"Edison, NJ",501 to 1000 employees,Company - Private,IT Services,Information Technology
Atlassian,"Sydney, Australia",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
Guy Carpenter,"New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance
MassMutual,"Springfield, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance
"Nesco Resource, LLC","Cleveland, OH",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Strivr,"Palo Alto, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
BlackLine,"Woodland Hills, CA",501 to 1000 employees,Company - Public,Computer Hardware & Software,Information Technology
NBC Universal,"New York, NY",10000+ employees,Company - Public,TV Broadcast & Cable Networks,Media
Acorns,"Irvine, CA",201 to 500 employees,Company - Private,Brokerage Services,Finance
"Netflix, Inc.","Los Gatos, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology
Albert (CA),"Culver City, CA",51 to 200 employees,Company - Private,Financial Analytics & Research,Finance
Jam City,"Los Angeles, CA",501 to 1000 employees,Company - Private,Video Games,Media
Delmarva Foundation,"Easton, MD",501 to 1000 employees,Nonprofit Organization,Consulting,Business Services
Hulu,"Santa Monica, CA",1001 to 5000 employees,Company - Private,TV Broadcast & Cable Networks,Media
Mythical Games,"Sherman Oaks, CA",1 to 50 employees,Company - Private,Video Games,Media
Honey,"Los Angeles, CA",201 to 500 employees,Subsidiary or Business Segment,Internet,Information Technology
Starz,"Santa Monica, CA",501 to 1000 employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media
The Aerospace Corporation,"El Segundo, CA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense
mPulse Mobile,"Encino, CA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Beyond Limits,"Glendale, CA",51 to 200 employees,Company - Private,Research & Development,Business Services
Oaktree Capital Management,"Los Angeles, CA",501 to 1000 employees,Company - Public,Investment Banking & Asset Management,Finance
Headspace,"Santa Monica, CA",201 to 500 employees,Company - Private,Internet,Information Technology
Aviana Global Technologies,"Brea, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
Ipsos,"Paris, France",10000+ employees,Company - Public,Consulting,Business Services
TikTok,"Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology
Electronic Arts,"Redwood City, CA",5001 to 10000 employees,Company - Public,Video Games,Media
Steady,"Atlanta, GA",1 to 50 employees,Company - Private,Internet,Information Technology
Zest AI,"Burbank, CA",51 to 200 employees,Company - Private,Financial Analytics & Research,Finance
ConsumerTrack,"Los Angeles, CA",51 to 200 employees,Company - Private,Internet,Information Technology
Evolvinc,"Los Angeles, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
Aspiration,"Marina del Rey, CA",201 to 500 employees,Company - Private,Brokerage Services,Finance
J.P. Morgan,"New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
SADA,"North Hollywood, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
Neustar,"Sterling, VA",1001 to 5000 employees,Company - Private,Internet,Information Technology
Walt Disney Company,"Burbank, CA",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media
Center for Sustainable,"San Diego, CA",51 to 200 employees,Nonprofit Organization,Energy,"Oil, Gas, Energy & Utilities"
Turner Broadcasting,"New York, NY",10000+ employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media
City of Hope,"Duarte, CA",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
L.A. Care Health Plan,"Los Angeles, CA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Anchor Loans LP,"Calabasas, CA",51 to 200 employees,Company - Private,Real Estate,Real Estate
Gurucul,"El Segundo, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Opendoor,"San Francisco, CA",501 to 1000 employees,Company - Private,Real Estate,Real Estate
Magic Brush,"Rutland, VT",1 to 50 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
People Tree,"Hermosa Beach, CA",1 to 50 employees,Self-employed,Staffing & Outsourcing,Business Services
NEXT Trucking,"Los Angeles, CA",51 to 200 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics
Wellth Inc.,"New York, NY",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
iRobot,"Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,Retail
Capital Group,"Los Angeles, CA",5001 to 10000 employees,Company - Private,Investment Banking & Asset Management,Finance
BioPhase Solutions,"San Diego, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
true[x],"Los Angeles, CA",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services
Snap,"Santa Monica, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
Allscripts,"Chicago, IL",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
SDL,"Maidenhead, United Kingdom",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Hyperloop Transportation Technologies,"Los Angeles, CA",501 to 1000 employees,Company - Private,Transportation Management,Transportation & Logistics
PeerStreet,"El Segundo, CA",51 to 200 employees,Company - Private,Real Estate,Real Estate
Loot Crate,"Los Angeles, CA",201 to 500 employees,Company - Private,Other Retail Stores,Retail
Apple,"Cupertino, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Dot818,"Glendale, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
CrowdRise,"Redwood City, CA",201 to 500 employees,Company - Private,Internet,Information Technology
Capgemini,"Paris, France",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
ViacomCBS,"New York, NY",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media
Fox Corporation,"New York, NY",5001 to 10000 employees,Company - Public,TV Broadcast & Cable Networks,Media
Guggenheim Partners,"Chicago, IL",1001 to 5000 employees,Private Practice / Firm,Investment Banking & Asset Management,Finance
Ad.net,"Los Angeles, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Signal Sciences,"Culver City, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
HireTalent,"New York, NY",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Jobot,"Irvine, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Cedars-Sinai,"Los Angeles, CA",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
CodeForce 360,"Alpharetta, GA",51 to 200 employees,Company - Private,IT Services,Information Technology
21st Century Fox,"Los Angeles, CA",1001 to 5000 employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media
Warner Bros. Entertainment,"Burbank, CA",5001 to 10000 employees,Company - Public,Motion Picture Production & Distribution,Media
Grifols,"Barcelona, Spain",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
PUBG Santa Monica,"Seoul, South Korea",501 to 1000 employees,Company - Private,Video Games,Media
First Professional Services,"Piscataway, NJ",51 to 200 employees,Subsidiary or Business Segment,Internet,Information Technology
Lucky Day,"Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology
Mondo,"New York, NY",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
The Honest Company,"Los Angeles, CA",201 to 500 employees,Company - Private,Internet,Information Technology
V Group Inc.,"Louisville, KY",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Galvanize Inc.,"Denver, CO",201 to 500 employees,Company - Private,Education Training Services,Education
Beyond Meat,"Los Angeles, CA",51 to 200 employees,Company - Public,Food & Beverage Manufacturing,Manufacturing
"Relevante, Inc.","Berwyn, PA",51 to 200 employees,Company - Private,Consulting,Business Services
University of Southern California,"Los Angeles, CA",10000+ employees,College / University,Colleges & Universities,Education
Kelly,"Troy, MI",5001 to 10000 employees,Company - Public,Staffing & Outsourcing,Business Services
Genentech,"South San Francisco, CA",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Gilead Sciences,"Foster City, CA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Langan Engineering and Environmental Services,"Parsippany, NJ",1001 to 5000 employees,Company - Private,Architectural & Engineering Services,Business Services
Miro,"San Francisco, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
Activision Blizzard,"Santa Monica, CA",10000+ employees,Company - Public,Video Games,Media
Idealab,"Pasadena, CA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance
Enterprise Solutions Inc,"Naperville, IL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
US Department of Energy,"Washington, DC",10000+ employees,Government,Federal Agencies,Government
Cenergy,"Milton, WV",51 to 200 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
Dollar Shave Club,"Marina del Rey, CA",201 to 500 employees,Company - Private,Beauty & Personal Accessories Stores,Retail
RAPP,"New York, NY",501 to 1000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
"Staffigo Technical Services, LLC","Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology
Tapcart,"Santa Monica, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
ZEFR,"Venice, CA",201 to 500 employees,Company - Private,Motion Picture Production & Distribution,Media
Beachbody,"Santa Monica, CA",501 to 1000 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
Superior Court of California County of Los Angeles,"Los Angeles, CA",1001 to 5000 employees,Government,Municipal Governments,Government
J. Paul Getty Trust,"Los Angeles, CA",1001 to 5000 employees,Nonprofit Organization,Grantmaking Foundations,Non-Profit
